type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight;minProgress
item;minecraft:netherrack;;1024;4096;;;250;0.2
item;minecraft:oak_leaves;;64;256;;;100;
item;minecraft:oak_sapling;;64;256;;;100;
item;minecraft:observer;;128;256;;;100;0.25
item;minecraft:packed_mud;;128;512;;;150;0.1
item;minecraft:player_head;;1;1;;;100;0.1
item;minecraft:pointed_dripstone;;64;256;;;100;
item;minecraft:poppy;;32;128;;;150;
item;minecraft:prismarine_shard;;32;256;;;100;0.2
item;minecraft:pumpkin_pie;;32;256;;;100;0.15
item;minecraft:rail;;256;1024;;;150;0.15
item;minecraft:red_sand;;256;1024;;;100;
item;minecraft:rooted_dirt;;8;64;;;100;0.1
item;minecraft:sandstone;;256;1024;;;200;
item;minecraft:scaffolding;;256;1024;;;100;
item;minecraft:sculk;;128;512;;;100;0.2
item;minecraft:sea_pickle;;64;256;;;100;0.1
item;minecraft:shield;;24;48;;;100;0.15
item;minecraft:slime_ball;;64;256;;;100;
item;minecraft:small_dripleaf;;32;128;;;100;0.1
item;minecraft:spider_eye;;32;128;;;100;
item;minecraft:spore_blossom;;2;8;;;100;0.3
item;minecraft:spruce_leaves;;64;256;;;100;
item;minecraft:spruce_sapling;;64;128;;;100;
item;minecraft:spyglass;;16;32;;;100;0.15
item;minecraft:sticky_piston;;128;512;;;100;0.15
item;minecraft:stone_bricks;;512;1024;;;150;
item;minecraft:sugar;;64;256;;;100;
item;minecraft:target;;32;64;;;100;0.05
item;minecraft:tinted_glass;;64;128;;;100;0.15
item;minecraft:tnt;;32;128;;;100;0.15
item;minecraft:totem_of_undying;;1;4;7;14;100;0.5
item;minecraft:vine;;128;256;;;150;
item;minecraft:acacia_leaves;;64;256;;;100;
item;minecraft:ghast_tear;;8;16;;;100;0.35
item;minecraft:blaze_rod;;32;128;;;100;0.35
item;minecraft:enchanting_table;;2;8;;;100;0.4
item;minecraft:nether_wart;;64;256;;;150;0.25
item;minecraft:netherite_ingot;;1;3;8;16;100;0.6
item;minecraft:shroomlight;;32;128;;;100;0.25
item;minecraft:wither_skeleton_skull;;2;6;;;100;0.5
item;minecraft:ender_pearl;;8;32;;;100;0.4
item;minecraft:netherite_upgrade_smithing_template;;1;2;8;16;75;0.6
item;minecraft:shulker_shell;;8;32;;;75;0.65
item;minecraft:calibrated_sculk_sensor;;12;24;;;75;0.5
item;minecraft:chorus_fruit;;64;256;;;75;0.6
item;minecraft:creeper_head;;1;2;6;16;75;0.5
item;minecraft:dragon_breath;;32;128;;;75;0.6
item;minecraft:dragon_head;;1;2;8;16;75;0.7
item;minecraft:echo_shard;;16;64;;;75;0.7
item;minecraft:end_crystal;;8;16;;;75;0.5
item;minecraft:end_rod;;16;64;;;75;0.5
item;minecraft:ender_eye;;8;24;;;75;0.4
item;minecraft:nautilus_shell;;1;4;;;75;0.4
item;minecraft:phantom_membrane;;8;32;;;75;0.3
item;minecraft:rabbit_foot;;1;8;;;75;0.3
item;minecraft:respawn_anchor;;8;16;;;75;0.4
item;minecraft:sculk_catalyst;;4;24;;;75;0.35
item;minecraft:skeleton_skull;;1;2;;;75;0.2
item;minecraft:wither_rose;;16;32;;;75;0.25
item;minecraft:heart_of_the_sea;;1;2;;;50;0.5
item;minecraft:beacon;;1;2;8;16;50;0.65
item;minecraft:elytra;;1;1;8;24;50;0.8
item;minecraft:lodestone;;1;3;8;16;50;0.4
item;minecraft:nautilus_shell;;1;2;8;16;50;0.4
item;#c:logs;;512;2048;;;1000;
item;minecraft:heavy_core;;1;2;8;16;100;0.8
item;#minecraft:music_discs;;2;6;7;14;100;0.3
item;minecraft:trial_key;;2;8;;;100;0.6
item;minecraft:ominous_trial_key;;1;6;7;14;75;0.8
